TICKER,WEIGHT
KEYS,0.028
STX,0.0244
BKR,0.0236
FERG,0.0212
HPE,0.0209
URI,0.0204
STLD,0.0202
IRM,0.0194
CAH,0.0193
CBOE,0.0184
ADM,0.0184
ATO,0.0177
KVUE,0.0174
CNP,0.017
XYL,0.0169
FTV,0.0169
AWK,0.0166
CHRW,0.0165
PRU,0.0165
SATS,0.0165
RF,0.0161
BG,0.0158
ES,0.0158
WTW,0.0156
OMC,0.0154
TROW,0.0152
PPG,0.0151
KIM,0.015
EG,0.0148
TTWO,0.0147
BALL,0.0145
DECK,0.0141
EBAY,0.014
STE,0.0137
SYF,0.0137
FITB,0.0133
DOC,0.013
GPC,0.0123
TRU,0.0118
FSLR,0.0116
AVB,0.0115
MLM,0.011
COO,0.011
EXPD,0.0105
BIIB,0.0103
VLTO,0.0102
CBRE,0.01
CHD,0.01
PFG,0.0099
STT,0.0095
NWSA,0.0094
IQV,0.0093
GIS,0.0091
HUM,0.0089
ALLE,0.0088
NDAQ,0.0087
MKC,0.0083
TSCO,0.0081
FFIV,0.0079
PTC,0.0076
IR,0.0074
CNH,0.0074
BR,0.0073
EQH,0.0071
CCI,0.0071
LII,0.007
RJF,0.0068
IP,0.0067
HPQ,0.0066
PNR,0.0065
HIG,0.0061
TWLO,0.006
MTD,0.0058
RIVN,0.0055
SBAC,0.0053
J,0.0046
WPC,0.0038
LH,0.0038
AMCR,0.0037
FISV,0.0037
PHM,0.0036
ACGL,0.0034
A,0.0029
TPR,0.0026
KHC,0.0025
TYL,0.0021
LPLA,0.0008
OKTA,0.0005
NTAP,0.0005
INCY,0.0004
BBY,0.0004
IEX,0.0002
AVY,0.0001
REG,0.0001
