TICKER,WEIGHT
HD,0.040000177
JNJ,0.040000177
KO,0.040000177
PG,0.040000177
MRK,0.040000177
ABBV,0.040000177
PEP,0.040000177
CVX,0.040000177
BX,0.038792771
AMGN,0.036925705
TXN,0.036361641
ACN,0.036340219
VZ,0.035915283
T,0.035783691
GILD,0.031606636
PFE,0.030488349
PGR,0.026500534
COP,0.025348674
BMY,0.023934798
ADP,0.022631417
LMT,0.02252898
CMCSA,0.021572633
MO,0.02032028
UPS,0.016817262
SLB,0.014192531
ITW,0.014151349
CL,0.012979322
EOG,0.011961314
F,0.011606011
TGT,0.010043741
OKE,0.009616002
PAYX,0.007708596
SYY,0.007477257
KMB,0.006827587
FITB,0.006823962
HSY,0.005791095
RF,0.005247698
OMC,0.005204923
GIS,0.004995729
EIX,0.004935212
DRI,0.004887382
TROW,0.00484199
WRB,0.00423694
PKG,0.004060779
CTRA,0.003930687
SNA,0.003874908
FNF,0.002971137
BBY,0.002893524
CLX,0.002721571
CF,0.002686094
WSO,0.002603229
BAH,0.002416248
ORI,0.002178165
ALV,0.001962391
SWKS,0.001875107
APA,0.00187266
COLB,0.001817641
BF.B,0.001786246
UGI,0.001674868
LNC,0.001572319
NXST,0.001242573
MC,0.001151511
CPB,0.001070853
OZK,0.001067574
DDS,0.001051141
RLI,0.001037208
MTN,0.001024307
LAZ,0.001010891
RDN,0.001005804
JHG,0.000905907
MSM,0.00080387
CBT,0.000799359
FHI,0.000786464
APAM,0.000676011
WU,6.46E-04
PAG,0.000616389
CVBF,0.000523899
FLO,0.000440996
SM,0.000422033
HNI,0.000419783
CNS,0.000392414
OFG,0.000379274
CHCO,0.000363855
BKE,0.000356666
NSP,0.000339388
IPAR,0.000336646
STBA,0.000317435
LKFN,0.000297852
WEN,0.000285853
WLY,0.000263875
PFBC,0.000233027
VRTS,0.000231748
DLX,0.000217291
CNA,0.000202786
CPF,0.000160851
AMSF,0.000146563
THFF,0.000146493
ETD,0.000121773
KFRC,0.000114649
GES,9.24519E-05
