TICKER,WEIGHT
XOM,0.015917841
DUK,0.015768079
VZ,0.015683429
SO,0.015484623
MSFT,0.015347865
CSCO,0.015332356
MSI,0.015318203
VRTX,0.015182656
MCK,0.015123302
WM,0.015113519
JNJ,0.01507648
CB,0.01505051
NVDA,0.015006847
BRK.B,0.014702429
COR,0.014664002
MCD,0.013717067
ED,0.013643165
RSG,0.01361371
APH,0.013412285
WCN,0.012951223
TMUS,0.012766578
MRK,0.012444897
NEM,0.012132877
IBM,0.011882853
KO,0.011764566
TJX,0.011407989
MA,0.011347777
PG,0.011288819
PGR,0.0109232
TRV,0.010787703
NOC,0.010780149
T,0.010373377
CBOE,0.01023367
PEP,0.010163557
CME,0.010150615
LMT,0.00997629
CRM,0.009956982
YUM,0.009710578
TDY,0.009598116
AZO,0.009224791
CL,0.009192388
ROP,0.009119803
GILD,0.009115508
WEC,0.008906619
NOW,0.008878836
V,0.008694849
MRSH,0.008490677
EA,0.008365834
WMT,0.008296599
ACN,0.008181934
ABT,0.007932665
INTU,0.007794446
ORLY,0.007761353
KR,0.007742938
AAPL,0.007700268
WELL,0.007523572
O,0.007276004
MNST,0.007212192
ADSK,0.007070409
LLY,0.006902386
LIN,0.006747118
ABBV,0.006688216
VRSN,0.006674828
MDLZ,0.006553289
PTC,0.006358741
ADBE,0.006214841
CHD,0.006017411
CTSH,0.005987546
SUI,0.005680631
FWONK,0.005589896
TEL,0.005492113
FFIV,0.005475438
PLTR,0.005467536
PM,0.005407321
GLW,0.005376881
XEL,0.005297549
AEP,0.00527753
TXN,0.005242582
INCY,0.0052254
KDP,0.005018968
PANW,0.004978158
ACGL,0.004930835
ALL,0.004763181
WMB,0.004693759
TYL,0.004658263
AON,0.004371829
EXE,0.00434805
FTNT,0.004341574
WDAY,0.004164195
CVX,0.00412312
ROL,0.00403426
AVGO,0.004026716
ANET,0.004021139
GDDY,0.003716136
FSLR,0.003697602
BSX,0.003639789
L,0.003618754
GOOGL,0.003575407
SNPS,0.003489212
WTW,0.00345916
WRB,0.003455106
ADI,0.003289994
AMGN,0.003288997
MU,0.003278058
SNOW,0.003177235
MELI,0.003169025
COST,0.003162665
ALNY,0.003148801
AMD,0.002963225
NBIX,0.002959587
UNH,0.002931739
FCNCA,0.00291552
ORCL,0.002896926
AJG,0.002872371
CTVA,0.002870194
AEE,0.002866888
UBER,0.002860852
FICO,0.00281344
ICE,0.002803702
HSY,0.002712434
D,0.002459276
NFLX,0.002344653
ELV,0.002287729
CMS,0.002151024
GEN,0.002146086
HCA,0.002102909
CIEN,0.002089463
UTHR,0.001984781
ZM,0.0019637
LNG,0.001955795
DASH,0.001921186
TSN,0.001812302
TW,0.001778574
CDNS,0.001719652
VTR,0.00169517
CI,0.001689356
GIS,0.001682524
CTRA,0.001672187
EOG,0.001669362
KMB,0.001502304
GEV,0.001497486
QCOM,0.001464306
RTX,0.001446476
VRSK,0.001395171
HIG,0.001377786
MRVL,0.001364299
MDT,0.001360144
CRWD,0.001295013
NEE,0.001217633
AMZN,0.001146698
APP,0.001116576
AMAT,0.001063231
META,0.000917514
CAH,0.000882961
ERIE,0.000861135
HD,0.000811726
REGN,0.000735791
ATO,0.000708007
GD,0.000673037
ADP,0.000618106
PODD,0.000583851
ALAB,0.000573446
DTE,0.000559761
PPL,0.000552666
DDOG,0.000552114
AWK,0.000531771
HUBS,0.000525346
CRDO,0.000508934
LNT,0.000507669
CDW,0.000457324
